run,readout.rate,throughput,icr_ch3,ocr_ch3,throughput_ch3,rejections_ch3,live_frac_ch3,icr_ch5,ocr_ch5,throughput_ch5,rejections_ch5,live_frac_ch5
290,8.651,,110.48,110.48,114.112,0.0,1.0,104.007,104.007,103.902,0.0,1.0
291,483.516,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
292,9.047,,129.812,129.812,123.172,0.0,1.0,115.108,115.108,113.494,0.0,1.0
293,7.508,,88.8099,88.8099,84.9979,0.0,1.0,86.4691,86.4691,87.9803,0.0,1.0
294,5.65,,69.2458,69.2458,70.084,0.0,1.0,61.2375,61.2375,61.9256,0.0,1.0
295,5.367,,66.9965,66.9965,66.6606,0.0,1.0,60.0021,60.0021,60.3685,0.0,1.0
296,3.832,,100.793,100.793,89.3183,0.0,1.0,69.3881,69.3881,63.1756,0.0,1.0
297,356.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
298,7.512,,61.5756,61.5756,58.8253,0.0,1.0,91.0852,91.0852,91.5805,0.0,1.0
299,7.529,,46.4619,46.4619,43.4527,0.0,1.0,80.7986,80.7986,81.28,0.0,1.0
300,7.212,,32.828,32.828,56.0709,0.0,1.0,81.3305,81.3305,82.3882,0.0,1.0
301,7.992,,66.4485,66.4485,74.8049,0.0,1.0,74.9995,74.9995,75.6016,0.0,1.0
302,1.161,,64.0948,64.0948,61.5551,0.0,1.0,0.0,0.0,0.0,0.0,
303,9.243,,47.5633,47.5633,49.9064,0.0,1.0,69.5111,69.5111,69.2158,0.0,1.0
304,9.371,,66.0144,66.0144,67.191,0.0,1.0,74.3636,74.3636,74.7467,0.0,1.0
305,15.932,,114.859,114.859,103.635,0.0,1.0,141.319,141.319,141.84,0.0,1.0
306,1.905,,92.3466,92.3466,102.928,0.0,1.0,104.578,104.578,105.752,0.0,1.0
307,1.862,,75.7463,75.7463,80.2304,0.0,1.0,97.4794,97.4794,98.7879,0.0,1.0
308,11.197,,90.7103,90.7103,86.071,0.0,1.0,97.2434,97.2434,97.8323,0.0,1.0
309,10.932,,74.2122,74.2122,77.7756,0.0,1.0,91.8684,91.8684,94.1524,0.0,1.0
310,9.798,,82.2974,82.2974,78.5282,0.0,1.0,93.9075,93.9075,93.156,0.0,1.0
311,10.226,,71.0232,71.0232,69.7266,0.0,1.0,83.7524,83.7524,83.6047,0.0,1.0
312,28.048,,77.9518,77.9518,65.4587,0.0,1.0,0.0,0.0,0.517139,0.0,
313,29.882,,21.5627,21.5627,21.3498,0.0,1.0,0.0,0.0,0.0,0.0,
314,9.444,,116.66,116.66,125.288,0.0,1.0,80.2901,80.2901,80.1393,0.0,1.0
315,9.031,,95.2202,95.2202,96.2051,0.0,1.0,69.9052,69.9052,69.2257,0.0,1.0
316,5.163,,69.5832,69.5832,70.1578,0.0,1.0,63.4554,63.4554,63.537,0.0,1.0
317,18.915,,78.6667,78.6667,76.9839,0.0,1.0,0.0,0.0,0.0,0.0,
318,15.584,,76.6832,76.6832,70.0711,0.0,1.0,0.0,0.0,0.0,0.0,
319,14.98,,83.8094,83.8094,78.481,0.0,1.0,0.0,0.0,0.0,0.0,
320,6.785,,48.9714,48.9714,55.9951,0.0,1.0,49.9157,49.9157,49.6485,0.0,1.0
321,7.592,,62.1623,62.1623,62.4005,0.0,1.0,54.3011,54.3011,54.0346,0.0,1.0
322,6.198,,49.3639,49.3639,52.584,0.0,1.0,47.3781,47.3781,46.8439,0.0,1.0
323,5.81,,33.0117,33.0117,45.3435,0.0,1.0,45.9327,45.9327,46.1967,0.0,1.0
324,5.746,,39.3176,39.3176,41.4928,0.0,1.0,44.5307,44.5307,44.3329,0.0,1.0
325,7.293,,46.3208,46.3208,55.2536,0.0,1.0,49.3842,49.3842,49.5597,0.0,1.0
326,5.594,,43.751,43.751,37.4099,0.0,1.0,40.9756,40.9756,41.0716,0.0,1.0
327,5.538,,52.0087,52.0087,50.4559,0.0,1.0,39.7323,39.7323,40.2656,0.0,1.0
328,5.79,,46.2856,46.2856,41.8093,0.0,1.0,40.7314,40.7314,40.4935,0.0,1.0
329,5.344,,34.3311,34.3311,34.934,0.0,1.0,40.3749,40.3749,40.4069,0.0,1.0
330,3.984,,45.5827,45.5827,44.0808,0.0,1.0,33.9751,33.9751,34.1991,0.0,1.0
331,4.284,,47.952,47.952,36.6721,0.0,1.0,31.6973,31.6973,31.8611,0.0,1.0
332,3.944,,52.1194,52.1194,52.1194,0.0,1.0,31.8651,31.8651,31.8651,0.0,1.0
333,4.248,,48.3259,48.3259,38.5315,0.0,1.0,29.6525,29.6525,29.2981,0.0,1.0
334,4.883,,45.7689,45.7689,46.9965,0.0,1.0,38.5639,38.5639,39.5239,0.0,1.0
335,5.689,,63.9126,63.9126,59.616,0.0,1.0,47.1664,47.1664,46.9909,0.0,1.0
336,5.742,,49.3676,49.3676,52.9227,0.0,1.0,44.7167,44.7167,43.9437,0.0,1.0
337,6.11,,49.9856,49.9856,60.3298,0.0,1.0,50.8702,50.8702,50.1502,0.0,1.0
338,6.502,,61.3933,61.3933,69.278,0.0,1.0,53.6639,53.6639,53.1568,0.0,1.0
